,Name,Start1,Lat1,Lon1,Horizontal_uncertainty1,Height1,Vertical_uncertainty1,Stake_height1,GPS_height1,Stake_height_sigma1,surface_cover1,Start2,Lat2,Lon2,Horizontal_uncertainty2,Height2,Vertical_uncertainty2,Stake_height2,GPS_height2,Stake_height_sigma2,surface_cover2,Q1,Q2,Duration,Distance,Azimuth,Velocity,x,y,u,v,w,Horizontal uncertainty,Vertical uncertainty,stake_height_change
GPSCDS-1,CDS-1,12/23/23 20:40,-76.75965973,159.3968627,0.0034,1924.8617,0.0144,0.942,0.975,0.001,ice surface,1/8/25 4:09,-76.75966004,159.3968685,0.0035,1924.8251,0.0148,0.9271,0.97551875,0.0015875,blue ice with snow cover,1,1,381 days 07:29:00,0.15168143003055531,103.13108055039031,0.14541113469464653,508405.2180091425,-1352365.524,-0.142749042,-0.018722445,-0.0366,0.0069,0.0292,-0.0149
GPS042,042,12/27/23 0:43,-76.74181047,159.0652773,0.0036,1992.9546,0.0164,0.878,0.906,0.001,snow surface,12/14/24 3:10,-76.74180643,159.065275,0.0035,1992.9506,0.0154,0.739775,0.78819375,0.0015875,"snow cover, including freshly fallen snow",1,1,353 days 02:27:00,0.45304096554859635,-7.441329541,0.4687626421150845,516925.2438,-1351235.607,0.22051203401536495,-0.408236214,-0.004,0.0071,0.0318,-0.138225
GPSCDS-5,CDS-5,12/23/23 23:11,-76.76217955,159.4178066,0.0032,1850.6454,0.014,1.02,1.052,0.001,ice surface,1/8/25 2:28,-76.76218013,159.4178079,0.0033,1850.6543,0.0144,1.08346875,1.1318875,0.0015875,blue ice,1,1,381 days 03:17:00,0.07249205,152.8221046921453,0.069495331,507813.3947571258,-1352291.62,-0.050927015,0.046242481060454435,0.0089,0.0065,0.0284,0.06346875
MP1,MP1,12/13/23 4:29,-76.72549107,159.1821922,0.0032,1973.6563,0.0147,2.31,2.35,0.001,snow surface,12/12/24 1:03,-76.72548862,159.182199,0.0045,1973.578,0.0199,2.35585,2.40426875,0.0015875,snow drift on blue ice,1,1,364 days 20:34:00,0.32304900366093914,32.518741200303054,0.3241583752394451,514805.11842215154,-1353966.463,-0.06507875,-0.314227618,-0.0783,0.0077,0.0346,0.04585
GPS030,030,12/15/23 20:52,-76.73559984,159.2447126,0.0031,1972.7066,0.0142,0.927,0.963,0.001,snow surface,12/7/24 20:57,-76.73559886,159.2447189,0.0034,1972.6923,0.0151,0.94,0.98841875,0.001,snow cover,1,1,358 days 00:05:00,0.19419006961691454,55.87357066571591,0.19812268974183808,512933.0761910494,-1353486.925,-0.112839879,-0.160446052,-0.0143,0.0065,0.0293,0.013
GPS019,019,12/12/23 21:38,-76.70376596,159.2733258,0.0033,1925.1573,0.0144,0.736,0.753,0.001,snow surface,12/19/24 1:58,-76.70376445,159.2733342,0.0034,1925.1527,0.0152,0.752475,0.80089375,0.0015875,"hard packed snow, blue ice patches nearby",1,1,372 days 04:20:00,0.27264939744380595,51.997952738378146,0.2677021301514788,513497.1137058172,-1357020.005,-0.137585318,-0.22654384,-0.0046,0.0067,0.0296,0.016475
GPS-Track4-3,Track 4-3,12/11/23 4:58,-76.7060996,159.2790827,0.0034,1931.4461,0.0144,1.11,1.138,0.001,,12/27/24 2:46,-76.70609769,159.2790926,0.0033,1931.4742,0.0149,1.1414125,1.18983125,0.0015875,blue ice,1,1,381 days 21:48:00,0.3304272063504803,50.01275189506073,0.31676781396197623,513269.8701896077,-1356831.374,-0.153443633,-0.273524668,0.0281,0.0067,0.0293,0.0314125
GPS014,014,12/13/23 0:49,-76.72054302,159.2234542,0.0032,1949.5081,0.0141,0.494,0.523,0.001,ice surface,12/18/24 3:26,-76.72054131,159.223462,0.0033,1949.5279,0.0147,0.479425,0.52784375,0.0015875,snow patch right by blue ice,1,1,371 days 02:37:00,0.27539966854172393,46.34619548477145,0.2711313448379101,514023.0750220432,-1354846.012,-0.115855504,-0.242138168,0.019800000000032014,0.0065,0.0288,-0.014575
GPS037,037,12/13/23 21:54,-76.73652278,159.3451609,0.003,1942.0829,0.0137,0.805,0.832,0.001,ice surface,12/7/24 3:09,-76.73652259,159.3451642,0.0034,1942.1054,0.0157,0.811,0.85941875,0.001,,1,1,359 days 05:15:00,0.086798136,75.91722903777887,0.088309245,510523.6074193211,-1354288.99,-0.071854603,-0.049824299,0.022499999999809006,0.0064,0.0294,0.006
GPS-Track5-3,Track 5-3,12/14/23 3:41,-76.74174167,159.2499834,0.0033,1970.5471,0.0147,0.845,0.877,0.001,snow surface,12/7/24 21:25,-76.74174088,159.2499894,0.0034,1970.5302,0.0155,0.866,0.91441875,0.001,snow cover,1,1,359 days 17:44:00,0.17643255600791866,60.14822836873422,0.17950415343145484,512569.0685272694,-1352901.961,-0.112800717,-0.137334579,-0.0169,0.0067,0.0302,0.021
GPS022,022,12/13/23 2:38,-76.71908554,159.1962254,0.003,1954.5319,0.0133,0.707,0.74,0.001,ice surface,12/18/24 1:52,-76.71908343,159.196234,0.0033,1954.5976,0.0147,0.7239,0.77231875,0.0015875,blue ice with patches of snow,1,1,370 days 23:14:00,0.3214144347763895,43.12662320854895,0.3172881683839899,514723.85750763933,-1354751.563,-0.119310204,-0.290578217,0.0657,0.0063,0.028,0.0169
GPS015,015,12/13/23 0:11,-76.71165002,159.1971357,0.0032,1958.5028,0.0141,0.548,0.584,0.001,ice surface,12/18/24 2:17,-76.71164745,159.1971446,0.0035,1958.5065,0.0153,0.5715,0.61991875,0.0015875,"blue ice, some small snow patches nearby",1,1,371 days 02:06:00,0.3652502582013196,38.52921044312429,0.359589371,514992.99825677683,-1355524.817,-0.10838947,-0.339090683,0.0037,0.0067,0.0294,0.0235
GPS033,033,12/13/23 22:44,-76.74196643,159.3312728,0.003,1952.1315,0.0135,0.968,1.028,0.001,snow surface,12/7/24 2:40,-76.74196612,159.331275,0.0034,1952.1399,0.0153,0.99,1.03841875,0.001,,1,1,359 days 03:56:00,0.065846057,58.4416722,0.066992402,510640.4038887517,-1353604.628,-0.040627109,-0.052427254,0.0084,0.0064,0.0288,0.022
GPS031,031,12/14/23 1:09,-76.74420267,159.2936783,0.0031,1968.2149,0.0141,1.046,1.105,0.001,snow surface,12/7/24 22:53,-76.74420227,159.2936819,0.0034,1968.2517,0.0151,1.07,1.11841875,0.001,"snow cover, thin patches of exposed ice nearby",1,1,359 days 21:44:00,0.10199750693700077,64.15458032010574,0.10377322955080649,511441.4202715418,-1353039.068,-0.070656987,-0.07459172,0.036800000000084765,0.0065,0.0292,0.024
GPS010,010,12/19/23 21:57,-76.73344442,159.1827301,0.0032,1984.5748,0.0137,1,1.044,0.001,snow surface,12/10/24 5:05,-76.73344215,159.182735,0.0037,1984.6201,0.0157,1.01,1.05841875,0.001,snow cover,1,1,356 days 07:08:00,0.2816839489996796,26.359921708918996,0.28900298419138476,514481.32730426925,-1353153.048,-0.027631587,-0.28474307,0.0453,0.0069,0.0294,0.01
GPS027,027,12/17/23 21:14,-76.75035672,159.2180315,0.003,1976.1768,0.0138,0.875,0.903,0.001,snow surface,12/7/24 21:54,-76.75035533,159.2180366,0.0034,1976.1477,0.0155,0.825,0.87341875,0.001,snow cover,1,1,356 days 00:40:00,0.20194711910436858,40.07144168661212,0.2071943405979512,512987.0538671289,-1351729.451,-0.067755641,-0.193593756,-0.0291,0.0064,0.0293,-0.05
GPS028,028,12/15/23 21:09,-76.73627825,159.2068572,0.0033,1979.3243,0.0148,1.019,1.049,0.001,ice surface,12/18/24 0:52,-76.7362765,159.2068634,0.0033,1979.406,0.0147,1.0541,1.10251875,0.0015875,"blue ice, some nearby snow drifts",1,1,368 days 03:43:00,0.2507682397542225,39.11589232066688,0.24889429231040702,513800.7244797386,-1353077.969,-0.077458637,-0.233901705,0.0817,0.0066,0.0295,0.0351
GPS-Xd,Xd,12/20/23 22:27,-76.75200762,159.1079776,0.0032,1996.6833,0.0146,1.088,1.115,0.001,snow surface,12/27/24 23:12,-76.75200353,159.1079776,0.0033,1996.6105,0.0147,1.09855,1.14696875,0.0015875,"snow cover, lots of blowing/drifting snow",1,1,373 days 00:45:00,0.45478787743530874,0,0.445338531,515517.8304190859,-1350571.976,0.15718868607073871,-0.411808519,-0.0728,0.0065,0.0293,0.01055
GPS029,029,12/14/23 2:10,-76.74788067,159.2557752,0.0035,1966.5133,0.0147,0.912,0.954,0.001,snow surface,12/7/24 22:24,-76.74788018,159.2557794,0.0034,1966.5117,0.0155,0.89,0.93841875,0.001,snow cover,1,1,359 days 20:14:00,0.1201251793021615,63.03501853490983,0.12221649509781195,512193.0047106132,-1352321.885,-0.08142203,-0.089510532,-0.0016,0.0069,0.0302,-0.022
GPS038,038,12/17/23 1:20,-76.73209307,159.3624748,0.0032,1929.2794,0.0146,1.022,1.05,0.001,ice surface,12/6/24 21:53,-76.732093,159.3624778,0.0088,1929.3419,0.0377,1.05,1.09841875,0.001,blue ice,1,1,355 days 20:33:00,0.076954003,84.19683233338353,0.079175915,510286.1780533593,-1354899.452,-0.070196839,-0.034908177,0.0625,0.012,0.0523,0.028
GPS-Track4-9,Track 4-9,12/18/23 2:48,-76.74492391,159.1178233,0.0032,1992.3262,0.0141,1.229,1.254,0.001,,12/12/24 21:12,-76.74491985,159.1178233,0.0041,1992.2353,0.0177,1.1445875,1.19300625,0.0015875,"snow cover, including soft snow from recent snowfall",1,1,360 days 18:24:00,0.4514520253829213,0,0.4580357007530889,515563.6376850065,-1351388.962,0.16159978054650614,-0.423583325,-0.0909,0.0073,0.0318,-0.0844125
GPS-Track4-5,Track 4-5,12/13/23 2:10,-76.71608441,159.2100516,0.0032,1951.2958,0.0141,0.936,0.964,0.001,snow surface,12/12/24 3:16,-76.7160823,159.2100598,0.0059,1951.2468,0.0275,0.9604375,1.00885625,0.0015875,"snow drift, with nearby blue ice patches",1,1,365 days 01:06:00,0.3145501859682015,41.774043832493525,0.31476563130105645,514514.17447900993,-1355184.547,-0.111594114,-0.290953984,-0.049,0.0091,0.0416,0.0244375
GPS017,017,12/13/23 0:01,-76.70864322,159.2167092,0.003,1948.8153,0.0137,0.55,0.582,0.001,ice surface,12/18/24 2:56,-76.7086411,159.2167189,0.0035,1948.7751,0.0157,0.5889625,0.63738125,0.0015875,"blue ice, small snow patches nearby",1,1,371 days 02:55:00,0.34214061757767195,46.459496212088744,0.3368378991111716,514647.3060968785,-1356010.068,-0.144494881,-0.300557551,-0.0402,0.0065,0.0294,0.0389625
GPS012,012,12/13/23 2:50,-76.7260391,159.1982705,0.0032,1965.9955,0.0137,0.772,0.809,0.001,ice surface,12/18/24 1:23,-76.7260366,159.1982775,0.0033,1966.0264,0.0143,0.8016875,0.85010625,0.0015875,blue ice with some snow,1,1,370 days 22:33:00,0.33048067501199374,32.74626203350166,0.32623801769765054,514403.7263890152,-1354054.491,-0.066840224,-0.315962292,0.0309,0.0065,0.028,0.0296875
GPS018,018,12/12/23 21:05,-76.7083822,159.2854892,0.0033,1931.8083,0.0146,0.64,0.665,0.001,ice surface,12/19/24 2:47,-76.70838064,159.2854988,0.0036,1931.8371,0.0154,0.66675,0.71516875,0.0015875,"blue ice, a few snow patches nearby",1,1,372 days 05:42:00,0.3005341600603311,54.756708912955396,0.2950809192527848,513029.28282357706,-1356653.736,-0.163552337,-0.242091515,0.028800000000046566,0.0069,0.03,0.02675
GPS036,036,12/13/23 22:58,-76.73873399,159.3076516,0.0032,1953.4628,0.0143,0.83,0.888,0.001,snow surface,12/7/24 4:10,-76.73873323,159.3076564,0.0036,1953.4434,0.0159,0.793,0.84141875,0.001,,1,1,359 days 05:12:00,0.14876798258192603,55.394856378033076,0.15135795442353336,511324.09630901634,-1353726.845,-0.085312729,-0.123195704,-0.0194,0.0068,0.0302,-0.037
GPS035,035,12/14/23 1:56,-76.74079503,159.2694524,0.0033,1969.7456,0.0141,0.742,0.77,0.001,snow surface,12/11/24 20:07,-76.74079408,159.269458,0.0033,1969.7287,0.0147,0.75565,0.80406875,0.0015875,snow cover,1,1,363 days 18:11:00,0.17764012091821374,53.52137328081275,0.1787411960478721,512146.21314356837,-1353173.502,-0.095836552,-0.148761527,-0.0169,0.0066,0.0288,0.01365
GPS008,008,12/19/23 22:11,-76.73988382,159.1686381,0.0034,1986.9978,0.0145,1.017,1.05,0.001,snow surface,12/10/24 4:28,-76.73988116,159.1686417,0.0035,1987.0653,0.0153,0.968,1.01641875,0.001,"snow cover, sastrugi(including ~6 cm drift upwind of stake)",1,1,356 days 06:17:00,0.30970268935766854,17.251593074169794,0.31774973957272035,514562.1057568351,-1352364.077,0.019638068265429753,-0.313906867,0.0675,0.0069,0.0298,-0.049
GPS039,039,12/17/23 0:28,-76.73165048,159.3571378,0.003,1936.1772,0.0138,0.586,0.618,0.001,ice surface,12/6/24 20:56,-76.73165026,159.3571411,0.0034,1936.2162,0.0153,0.626,0.67441875,0.001,blue ice,1,1,355 days 20:28:00,0.087698988,73.80838728480671,0.090231142,510429.5550200028,-1354897.509,-0.071506761,-0.053561025,0.039,0.0064,0.0291,0.04
GPS043,043,12/17/23 0:47,-76.73125489,159.3608051,0.0034,1930.5529,0.0146,0.914,0.949,0.001,ice surface,12/6/24 20:26,-76.73125475,159.360808,0.0036,1930.5651,0.0157,1.066,1.11441875,0.001,blue ice,1,1,355 days 19:39:00,0.075631418,78.12593202673546,0.077815142,510358.1820162127,-1354970.916,-0.06497323,-0.041413661,0.012200000000120781,0.007,0.0303,0.152
GPS032,032,12/14/23 1:22,-76.73555751,159.2839894,0.0033,1959.4912,0.0147,1.099,1.154,0.001,"snow/ice surface, mostly ice",12/7/24 20:28,-76.73555635,159.2839958,0.0036,1959.4921,0.0155,1.1,1.14841875,0.001,blue ice with about 1 in snow in some places,1,1,359 days 19:06:00,0.20808499879132705,51.70302077207943,0.21170764849173318,512006.7779869193,-1353842.595,-0.107909778,-0.179684292,0.0009,0.0069,0.0302,0.001
GPS-Track5-2,Track 5-2,12/14/23 0:42,-76.73993975,159.2885464,0.0033,1963.7921,0.0143,0.946,0.975,0.001,snow surface,12/7/24 4:36,-76.73993889,159.2885518,0.0034,1963.7782,0.0151,0.954,1.00241875,0.001,,1,1,359 days 03:54:00,0.16767032581472108,55.236130375971605,0.17058937744798572,511728.52735601086,-1353432.145,-0.095720767,-0.139146156,-0.0139,0.0067,0.0294,0.008
GPS-Track4-6,Track 4-6,12/29/23 23:47,-76.72219358,159.182248,0.0036,1964.7808,0.015,0.544,0.571,0.001,snow surface,12/12/24 1:37,-76.72219104,159.1822546,0.0043,1964.7036,0.0177,0.55245,0.60086875,0.0015875,snow cover,1,1,348 days 01:50:00,0.3289076775444244,30.83719206095163,0.3452112908709799,514932.7909765173,-1354306.212,-0.059456029,-0.33652417,-0.0772,0.0079,0.0327,0.00845
GPS034,034,12/13/23 22:10,-76.73331147,159.3215393,0.0032,1947.111,0.0145,1.06,1.116,0.001,ice surface,12/7/24 3:38,-76.73331033,159.3215433,0.0036,1947.1341,0.0163,1.094,1.14241875,0.001,,1,1,359 days 05:28:00,0.16274819123710926,38.851184037576154,0.16558155111240713,511206.7230169638,-1354409.126,-0.051123387,-0.155742512,0.023099999999885767,0.0068,0.0308,0.034
GPS025,025,12/12/23 22:06,-76.70742846,159.2693293,0.0033,1938.1408,0.0146,0.439,0.46,0.001,ice surface,12/19/24 1:35,-76.70742676,159.269338,0.0034,1938.1109,0.0146,0.473075,0.52149375,0.0015875,"blue ice, a few snow patches nearby",1,1,372 days 03:29:00,0.2919022411674779,49.65027567352369,0.2866056279204874,513449.07029074134,-1356607.169,-0.137221574,-0.248375544,-0.0299,0.0067,0.0292,0.034075
GPS-2201,ALHIC2201 Pole,12/16/23 22:33,-76.73211851,159.3594289,0.003,1935.0842,0.0136,0.913,0.966,0.001,ice surface,12/6/24 22:16,-76.73211836,159.3594318,0.0034,1935.1301,0.0153,0.964,1.01241875,0.001,,1,1,355 days 23:43:00,0.07586348,77.30361573258953,0.078053905,510357.2208385664,-1354869.707,-0.064568432,-0.042473174,0.045900000000074215,0.0064,0.0289,0.051
GPS-Track4-10,Track 4-10,12/20/23 23:49,-76.75368712,159.1074133,0.0032,1997.4934,0.014,0.91,0.935,0.001,,12/30/24 0:00,-76.75368279,159.107413,0.0035,1997.5111,0.0159,0.860425,0.90884375,0.0015875,snow cover,1,1,375 days 00:11:00,0.4815353669977008,-0.909850194,0.4690154474557606,515465.22181288217,-1350394.219,0.17241548011265698,-0.431016286,0.017699999999877036,0.0067,0.0299,-0.049575
GPS-Track5-6,Track 5-6,12/18/23 1:11,-76.74655472,159.1335352,0.0034,1991.7555,0.0147,1.018,1.043,0.001,,12/10/24 3:03,-76.74655122,159.1335362,0.0043,1991.7251,0.0185,0.964,1.01241875,0.001,snow cover,1,1,358 days 01:52:00,0.3900167982063162,3.7489905197561066,0.39791518308619267,515129.0798584429,-1351362.552,0.11592390689812372,-0.376408037,-0.0304,0.0077,0.0332,-0.054
GPS016,016,12/13/23 0:40,-76.71777461,159.2411383,0.003,1942.0123,0.0135,0.498,0.534,0.001,ice surface,12/19/24 0:46,-76.71777307,159.2411474,0.0036,1942.0455,0.0152,0.530225,0.57864375,0.0015875,"blue ice, snow patches nearby",1,1,372 days 00:06:00,0.2887359340282595,53.63461469906624,0.2834967739350048,513712.8637,-1355289.522,-0.152360501,-0.235732157,0.0332,0.0066,0.0287,0.032225
GPS-Track4-8,Track 4-8,12/20/23 3:41,-76.73690945,159.1375631,0.0032,1988.1929,0.0144,0.948,0.973,0.001,snow surface,12/11/24 22:14,-76.73690614,159.137564,0.0041,1988.1728,0.0163,0.9096375,0.95805625,0.0015875,snow cover,1,1,357 days 18:33:00,0.3687711402202005,3.570795954397056,0.3772931623681463,515412.1272290647,-1352390.724,0.11100259315632889,-0.356571512,-0.0201,0.0073,0.0307,-0.0383625
GPS024,024,12/12/23 21:28,-76.70471984,159.2892755,0.0031,1921.7622,0.0138,1.142,1.178,0.001,ice surface,12/19/24 2:22,-76.70471813,159.2892853,0.0034,1921.7729,0.0152,1.184275,1.23269375,0.0015875,"blue ice, snow patches nearby",1,1,372 days 04:54:00,0.3145714970233267,52.82036836083932,0.3088635464725002,513082.19026808714,-1357064.706,-0.162548091,-0.259026998,0.010700000000042564,0.0065,0.029,0.042275
GPS-Track5-5,Track 5-5,12/17/23 23:04,-76.74535704,159.172671,0.0032,1986.6452,0.0142,0.851,0.882,0.001,,12/11/24 21:32,-76.74535418,159.1726749,0.0035,1986.5574,0.0153,0.866775,0.91519375,0.0015875,snow cover,1,1,359 days 22:28:00,0.3331990662159357,17.36782412442527,0.3389998856138455,514252.73469022836,-1351837.279,0.020248193666484844,-0.334939808,-0.0878,0.0067,0.0295,0.015775
GPS007,007,12/17/23 23:48,-76.74926427,159.1520535,0.0032,1991.999,0.0146,0.896,0.923,0.001,snow surface,12/13/24 21:16,-76.74926091,159.1520554,0.0036,1991.9399,0.0162,0.860425,0.90884375,0.0015875,"snow cover, including freshly fallen snow",1,1,361 days 21:28:00,0.37674074889516296,7.387774709895135,0.38117606242093705,514586.1413797913,-1351250.282,0.087820591,-0.366922538,-0.0591,0.0068,0.0308,-0.035575
GPSCDS-6,CDS-6,12/29/23 4:33,-76.75527926,159.4268907,0.0034,1865.0989,0.0144,0.879,0.852,0.001,ice surface,1/8/25 3:17,-76.75527957,159.4268905,0.0033,1865.086,0.0144,0.90566875,0.9540875,0.0015875,blue ice,1,1,375 days 22:44:00,0.034845009282637125,-171.5888709,0.033939039,507865.874,-1353083.119,-0.007077102,0.032838377,-0.0129,0.0067,0.0288,0.02666875
GPSCDS-2,CDS-2,12/23/23 21:14,-76.75734117,159.4107232,0.0032,1892.8161,0.0146,0.712,0.742,0.001,ice surface,1/8/25 3:45,-76.75734114,159.4107294,0.0033,1892.8535,0.0146,0.75565,0.80406875,0.0015875,"blue ice, top of ice wall",1,1,381 days 06:31:00,0.1579621714367078,88.79036542,0.1514322391529069,508167.78895102895,-1352727.369,-0.139214968,-0.055678946,0.0374,0.0065,0.0292,0.04365
GPSCDS-3,CDS-3,12/23/23 22:17,-76.76164489,159.4083131,0.0032,1867.3064,0.0142,0.658,0.68,0.001,ice surface,1/8/25 2:04,-76.7616453,159.408318,0.0033,1867.3455,0.0148,0.7112,0.75961875,0.0015875,"blue ice, very bumpy",1,1,381 days 03:47:00,0.13284142923310743,110.06488337192673,0.12734995282780182,508058.1090526132,-1352262.569,-0.126080436,-0.001159275,0.039099999999962165,0.0065,0.029,0.0532
GPSCDS-4,CDS-4,12/23/23 22:42,-76.7585631,159.4131459,0.0032,1884.2321,0.0138,0.734,0.763,0.001,ice surface,1/8/25 2:52,-76.75856382,159.4131542,0.0045,1884.3405,0.0174,0.815975,0.86439375,0.0015875,blue ice,1,1,381 days 04:10:00,0.22605150659949813,110.73582479773751,0.21670685770463702,508063.26257222076,-1352622.931,-0.214555648,0.000557853,0.10840000000007421,0.0077,0.0312,0.081975
GPS044,044,12/17/23 1:46,-76.73252572,159.358777,0.0034,1936.9658,0.0154,1.065,1.097,0.001,ice surface,12/6/24 21:22,-76.73252552,159.35878,0.0034,1937.0051,0.0157,1.118,1.16641875,0.001,blue ice,1,1,355 days 19:36:00,0.079721589,73.80739246543304,0.08202341,510356.8367150397,-1354821.961,-0.065002695,-0.048688116,0.039300000000139335,0.0068,0.0311,0.053
GPS023,023,12/12/23 22:15,-76.71038175,159.2487351,0.0033,1943.6032,0.0148,0.628,0.664,0.001,ice surface,12/19/24 1:13,-76.71038009,159.2487448,0.0036,1943.595,0.015,0.66675,0.71516875,0.0015875,"blue ice, a few snow patches nearby",1,1,372 days 02:58:00,0.3091039947914801,53.343172603573315,0.30349525295050567,513821.4649904149,-1356118.555,-0.161858237,-0.253169442,-0.0082,0.0069,0.0298,0.03875
GPS-Track4-15,Track 4-15,12/22/23 23:04,-76.7935234,159.0676706,0.0377,2022.9289,0.2161,0.879,0.91,0.001,snow surface,12/13/24 23:01,-76.79351985,159.0676755,0.0308,2022.9254,0.183,0.8905875,0.93900625,0.0015875,"snow cover, including freshly fallen snow. Sastrugi",NA,NA,356 days 23:57:00,0.4139039921656302,17.507954884179192,0.42465852005195626,514835.40379820607,-1345941.513,0.025104909338592683,-0.419548822,-0.0035,0.0685,0.3991,0.0115875
GPS040,040,12/29/23 21:41,-76.72928987,159.0277526,0.0034,1988.6689,0.0146,1.562,1.588,0.001,snow surface,12/18/24 22:15,-76.72928602,159.0277505,0.0438,1988.6103,0.2305,1.4716125,1.52003125,0.0015875,"snow cover, sastrugi",1,NA,355 days 00:34:00,0.43144381252237773,-7.139390352,0.4439009930247844,518303.3163703433,-1352183.517,0.2070354820663621,-0.387553523,-0.0586,0.0472,0.2451,-0.0903875
GPS013,013,12/29/23 23:20,-76.71823754,159.1662432,0.0488,1970.5625,0.2413,0.991,1.021,0.001,,12/12/24 2:36,-76.71823492,159.1662496,0.0065,1970.4804,0.0341,1.00965,1.05806875,0.0015875,"blue ice, snow nearby snow patches and cracks",NA,1,348 days 03:16:00,0.33407206115869803,29.30970575569292,0.35063166763854725,515465.94406673044,-1354569.278,-0.051160794,-0.343310611,-0.0821,0.0553,0.2754,0.01865
GPS041,041,12/29/23 22:20,-76.72332824,159.0839601,0.0597,1985.3496,0.3472,0.737,0.763,0.001,snow surface,12/18/24 23:40,-76.72332465,159.0839585,0.0035,1985.4691,0.0149,0.758825,0.80724375,0.0015875,"snow cover, sastrugi",NA,1,355 days 01:20:00,0.40127585829827084,-5.846081624,0.4128619922350519,517210.8063343798,-1353304.24,0.1840181068208603,-0.364893146,0.11950000000001637,0.0632,0.3621,0.021825
GPS-Xa,Xa,12/26/23 23:33,-76.75077009,159.0611424,0.0573,1997.8768,0.3263,1.021,1.047,0.001,,12/14/24 2:05,-76.75076583,159.0611411,0.0033,1997.9013,0.0144,0.66675,0.71516875,0.0015875,"snow cover, including freshly fallen snow",NA,1,353 days 02:32:00,0.4748481754414449,-4.002152871,0.4913266177903336,516670.34720607696,-1350277.336,0.20506908958367198,-0.440956802,0.024499999999989086,0.0606,0.3407,-0.35425